arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,cpsat,31.52,31.52,0,0.305,OPTIMAL,0.0,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,cpsat:warm,31.52,31.52,0,0.303,OPTIMAL,0.0,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,cpsat:warmbest,31.52,31.52,0,0.321,OPTIMAL,0.0,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,decomposed,31.52,31.52,0,0.001,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,greedy,31.52,31.52,0,0.0,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,greedy_periodic,31.52,31.52,0,0.001,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,greedy_reserved,31.52,31.52,0,0.001,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,heft,31.52,31.52,0,0.001,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,heft_edf,31.52,31.52,0,0.001,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,pso,31.52,31.52,0,0.071,,,0,0,0,
s10port,depth_nav,dc,networks_depth_nav_dc,20,20,2,sa,31.52,31.52,0,0.169,,,0,0,0,
